0.1,0
0.099211,0.012533
0.096858,0.024869
0.092978,0.036812
0.087631,0.048175
0.080902,0.058779
0.072897,0.068455
0.063742,0.077051
0.053583,0.084433
0.042578,0.090483
0.030902,0.095106
0.018738,0.098229
0.0062791,0.099803
-0.0062791,0.099803
-0.018738,0.098229
-0.030902,0.095106
-0.042578,0.090483
-0.053583,0.084433
-0.063742,0.077051
-0.072897,0.068455
-0.080902,0.058779
-0.087631,0.048175
-0.092978,0.036812
-0.096858,0.024869
-0.099211,0.012533
-0.1,1.2246e-17
-0.099211,-0.012533
-0.096858,-0.024869
-0.092978,-0.036812
-0.087631,-0.048175
-0.080902,-0.058779
-0.072897,-0.068455
-0.063742,-0.077051
-0.053583,-0.084433
-0.042578,-0.090483
-0.030902,-0.095106
-0.018738,-0.098229
-0.0062791,-0.099803
0.0062791,-0.099803
0.018738,-0.098229
0.030902,-0.095106
0.042578,-0.090483
0.053583,-0.084433
0.063742,-0.077051
0.072897,-0.068455
0.080902,-0.058779
0.087631,-0.048175
0.092978,-0.036812
0.096858,-0.024869
0.099211,-0.012533
